2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,0
2020-03-23,2
2020-03-24,0
2020-03-25,2
2020-03-26,1
2020-03-27,2
2020-03-28,2
2020-03-29,3
2020-03-30,6
2020-03-31,3
2020-04-01,8
2020-04-02,4
2020-04-03,11
2020-04-04,10
2020-04-05,12
2020-04-06,12
2020-04-07,12
2020-04-08,15
2020-04-09,17
2020-04-10,21
2020-04-11,26
2020-04-12,24
2020-04-13,28
2020-04-14,39
2020-04-15,33
2020-04-16,48
2020-04-17,38
2020-04-18,53
2020-04-19,43
2020-04-20,62
2020-04-21,50
2020-04-22,77
2020-04-23,62
2020-04-24,91
2020-04-25,74
2020-04-26,104
2020-04-27,81
2020-04-28,109
2020-04-29,96
2020-04-30,128
2020-05-01,103
2020-05-02,137
2020-05-03,114
2020-05-04,144
2020-05-05,120
2020-05-06,157
2020-05-07,128
2020-05-08,176
2020-05-09,135
2020-05-10,188
2020-05-11,140
2020-05-12,196
2020-05-13,154
2020-05-14,204
2020-05-15,164
2020-05-16,211
2020-05-17,172
2020-05-18,220
2020-05-19,180
2020-05-20,227
2020-05-21,185
2020-05-22,233
2020-05-23,194
2020-05-24,238
2020-05-25,202
2020-05-26,238
2020-05-27,207
2020-05-28,246
2020-05-29,214
2020-05-30,248
2020-05-31,218
2020-06-01,250
2020-06-02,220
2020-06-03,253
2020-06-04,222
2020-06-05,257
2020-06-06,226
2020-06-07,263
2020-06-08,228
2020-06-09,267
2020-06-10,232
2020-06-11,270
2020-06-12,236
2020-06-13,275
2020-06-14,240
2020-06-15,275
2020-06-16,245
2020-06-17,278
2020-06-18,249
2020-06-19,281
2020-06-20,250
2020-06-21,283
2020-06-22,252
2020-06-23,285
2020-06-24,256
2020-06-25,287
2020-06-26,259
2020-06-27,289
2020-06-28,261
2020-06-29,290
2020-06-30,261
2020-07-01,292
2020-07-02,262
2020-07-03,293
2020-07-04,264
2020-07-05,295
2020-07-06,266
2020-07-07,295
2020-07-08,269
2020-07-09,299
2020-07-10,269
2020-07-11,299
2020-07-12,269
2020-07-13,299
2020-07-14,269
2020-07-15,302
2020-07-16,272
2020-07-17,305
2020-07-18,273
2020-07-19,305
2020-07-20,274
2020-07-21,306
2020-07-22,274
2020-07-23,307
2020-07-24,274
2020-07-25,307
2020-07-26,274
2020-07-27,308
2020-07-28,275
2020-07-29,309
2020-07-30,275
2020-07-31,310
2020-08-01,275
2020-08-02,311
2020-08-03,275
2020-08-04,312
2020-08-05,275
2020-08-06,312
2020-08-07,277
2020-08-08,313
2020-08-09,278
2020-08-10,313
2020-08-11,280
2020-08-12,313
2020-08-13,281
2020-08-14,313
2020-08-15,284
2020-08-16,313
2020-08-17,284
2020-08-18,315
2020-08-19,285
2020-08-20,316
2020-08-21,286
2020-08-22,318
2020-08-23,286
2020-08-24,318
2020-08-25,286
2020-08-26,319
2020-08-27,286
2020-08-28,319
2020-08-29,286
2020-08-30,320
2020-08-31,287
2020-09-01,320
2020-09-02,288
2020-09-03,321
2020-09-04,290
2020-09-05,321
2020-09-06,290
2020-09-07,321
2020-09-08,290
2020-09-09,325
2020-09-10,291
2020-09-11,325
2020-09-12,291
2020-09-13,325
2020-09-14,291
2020-09-15,325
2020-09-16,292
2020-09-17,327
2020-09-18,292
2020-09-19,327
2020-09-20,293
2020-09-21,328
2020-09-22,293
2020-09-23,328
2020-09-24,293
2020-09-25,330
2020-09-26,294
2020-09-27,330
2020-09-28,294
2020-09-29,332
2020-09-30,295
2020-10-01,333
2020-10-02,296
2020-10-03,333
2020-10-04,298
2020-10-05,333
2020-10-06,298
2020-10-07,334
2020-10-08,300
2020-10-09,334
2020-10-10,302
2020-10-11,335
2020-10-12,302
2020-10-13,335
2020-10-14,303
